
CR_ID,EQ_ID,Data_Date,EQ_NO,Reading_Time,Reading_Value,Working_Flow,Standard_Flow,Working_Sum,Pressure,Temperature,Standard_Sum,TENANT_ID
19012008002040302590,201901141728344420103096709946,2019-01-18 17:00:00,818120198068,20/1/2019 08:00:20,0,0.0,0.0,3.8221,101.4922,8.3125,3.9384,263
19012008002040302591,201901141728344420103096709946,2019-01-18 18:00:00,818120198068,20/1/2019 08:00:20,0,0.0,0.0,3.8221,101.3359,7.125,3.9384,263
19012008002040302592,201901141728344420103096709946,2019-01-18 19:00:00,818120198068,20/1/2019 08:00:20,0,0.0,0.0,3.8221,101.3516,6.4375,3.9384,263
19012008002040302593,201901141728344420103096709946,2019-01-18 20:00:00,818120198068,20/1/2019 08:00:20,0,0.0,0.0,3.8221,101.3516,6.0,3.9384,263
19012008002740302595,201901141728344420103096709946,2019-01-18 21:00:00,818120198068,20/1/2019 08:00:28,0,0.0,0.0,3.8221,101.4297,5.6875,3.9384,263
19012008002740302596,201901141728344420103096709946,2019-01-18 22:00:00,818120198068,20/1/2019 08:00:28,0,0.0,0.0,3.8221,101.4609,5.375,3.9384,263
19012008002740302597,201901141728344420103096709946,2019-01-18 23:00:00,818120198068,20/1/2019 08:00:28,0,0.0,0.0,3.8221,101.5547,5.25,3.9384,263
19012008002740302598,201901141728344420103096709946,2019-01-19 00:00:00,818120198068,20/1/2019 08:00:28,0,0.0,0.0,3.8221,101.5859,5.1875,3.9384,263
19012008003540302603,201901141728344420103096709946,2019-01-19 01:00:00,818120198068,20/1/2019 08:00:36,0,0.0,0.0,3.8221,101.6172,5.0625,3.9384,263
19012008003540302604,201901141728344420103096709946,2019-01-19 02:00:00,818120198068,20/1/2019 08:00:36,0,0.0,0.0,3.8221,101.6172,4.9375,3.9384,263
19012008003540302605,201901141728344420103096709946,2019-01-19 03:00:00,818120198068,20/1/2019 08:00:36,0,0.0,0.0,3.8221,101.6328,4.75,3.9384,263
19012008003540302606,201901141728344420103096709946,2019-01-19 04:00:00,818120198068,20/1/2019 08:00:36,0,0.0,0.0,3.8221,101.6016,4.625,3.9384,263
19012008004340302611,201901141728344420103096709946,2019-01-19 05:00:00,818120198068,20/1/2019 08:00:44,0,0.0,0.0,3.8221,101.5859,4.5,3.9384,263
19012008004340302612,201901141728344420103096709946,2019-01-19 06:00:00,818120198068,20/1/2019 08:00:44,0,0.0,0.0,3.8221,101.6328,4.4375,3.9384,263
19012008004340302613,201901141728344420103096709946,2019-01-19 07:00:00,818120198068,20/1/2019 08:00:44,0,0.0,0.0,3.8221,101.6719,4.4375,3.9384,263
19012008004340302614,201901141728344420103096709946,2019-01-19 08:00:00,818120198068,20/1/2019 08:00:44,0,0.0,0.0,3.8221,101.7188,4.4375,3.9384,263
19012008005140302619,201901141728344420103096709946,2019-01-19 09:00:00,818120198068,20/1/2019 08:00:52,0,0.0,0.0,3.8221,101.7969,4.5,3.9384,263
19012008005140302620,201901141728344420103096709946,2019-01-19 10:00:00,818120198068,20/1/2019 08:00:52,0,0.0,0.0,3.8221,101.875,4.6875,3.9384,263
19012008005140302621,201901141728344420103096709946,2019-01-19 11:00:00,818120198068,20/1/2019 08:00:52,0,0.0,0.0,3.8221,101.9531,4.875,3.9384,263
19012008005140302622,201901141728344420103096709946,2019-01-19 12:00:00,818120198068,20/1/2019 08:00:52,0,0.0,0.0,3.8221,101.9922,5.1875,3.9384,263
19012008005940302627,201901141728344420103096709946,2019-01-19 13:00:00,818120198068,20/1/2019 08:01:00,0,0.0,0.0,3.8221,101.9922,5.4375,3.9384,263
19012008005940302628,201901141728344420103096709946,2019-01-19 14:00:00,818120198068,20/1/2019 08:01:00,0,0.0,0.0,3.8221,101.9844,5.6875,3.9384,263
19012008005940302629,201901141728344420103096709946,2019-01-19 15:00:00,818120198068,20/1/2019 08:01:00,0,0.0,0.0,3.8221,101.9219,5.8125,3.9384,263
19012008005940302630,201901141728344420103096709946,2019-01-19 16:00:00,818120198068,20/1/2019 08:01:00,0,0.0,0.0,3.8221,101.8906,5.8125,3.9384,263
19012008010740302635,201901141728344420103096709946,2019-01-19 17:00:00,818120198068,20/1/2019 08:01:08,0,0.0,0.0,3.8221,101.9219,5.75,3.9384,263
19012008010740302636,201901141728344420103096709946,2019-01-19 18:00:00,818120198068,20/1/2019 08:01:08,0,0.0,0.0,3.8221,101.7969,5.5625,3.9384,263
19012008010740302637,201901141728344420103096709946,2019-01-19 19:00:00,818120198068,20/1/2019 08:01:08,0,0.0,0.0,3.8221,101.7813,5.0625,3.9384,263
19012008010740302638,201901141728344420103096709946,2019-01-19 20:00:00,818120198068,20/1/2019 08:01:08,0,0.0,0.0,3.8221,101.8281,4.6875,3.9384,263
19012008011540302643,201901141728344420103096709946,2019-01-19 21:00:00,818120198068,20/1/2019 08:01:16,0,0.0,0.0,3.8221,101.7813,4.1875,3.9384,263
19012008011540302644,201901141728344420103096709946,2019-01-19 22:00:00,818120198068,20/1/2019 08:01:16,0,0.0,0.0,3.8221,101.8281,3.6875,3.9384,263
19012008011540302645,201901141728344420103096709946,2019-01-19 23:00:00,818120198068,20/1/2019 08:01:16,0,0.0,0.0,3.8221,101.9219,3.25,3.9384,263
19012008011540302646,201901141728344420103096709946,2019-01-20 00:00:00,818120198068,20/1/2019 08:01:16,0,0.0,0.0,3.8221,101.9922,2.9375,3.9384,263
19012008012340302650,201901141728344420103096709946,2019-01-20 01:00:00,818120198068,20/1/2019 08:01:24,0,0.0,0.0,3.8221,102.0703,2.5625,3.9384,263
19012008012340302651,201901141728344420103096709946,2019-01-20 02:00:00,818120198068,20/1/2019 08:01:24,0,0.0,0.0,3.8221,102.0703,2.1875,3.9384,263
19012008012340302652,201901141728344420103096709946,2019-01-20 03:00:00,818120198068,20/1/2019 08:01:24,0,0.0,0.0,3.8221,102.2266,1.875,3.9384,263
19012008012340302653,201901141728344420103096709946,2019-01-20 04:00:00,818120198068,20/1/2019 08:01:24,0,0.0,0.0,3.8221,102.3203,1.6875,3.9384,263
19012008013140302654,201901141728344420103096709946,2019-01-20 05:00:00,818120198068,20/1/2019 08:01:32,0,0.0,0.0,3.8221,102.2891,1.375,3.9384,263
19012008013140302655,201901141728344420103096709946,2019-01-20 06:00:00,818120198068,20/1/2019 08:01:32,0,0.0,0.0,3.8221,102.2578,1.125,3.9384,263
19012008013140302656,201901141728344420103096709946,2019-01-20 07:00:00,818120198068,20/1/2019 08:01:32,0,0.0,0.0,3.8221,102.2891,0.8125,3.9384,263
