,category,exceptionnum,meterid,similary,smallratio
688,4,0,meterId201808090920398460103000001220,1.420996400147013,0.0
1166,4,0,meterId201811141104563230103846079976,1.4199116387183497,0.0
638,4,0,meterId201808090920395770103000001136,1.4180888428106935,0.0
609,4,0,meterId201808090920393990103000001208,1.4171255008679995,0.0
842,4,0.0,meterId201809181432473730103073911672,1.4118901992970496,0.0
532,4,0,meterId201807271915302990103983494752,1.4114982876977111,0.0
949,4,0,meterId201810131643266960103584231528,1.411224555735481,0.0
608,4,0,meterId201808090920393990103000000668,1.4104670888745574,0.0
1047,4,0,meterId201810222018406630103412400192,1.4073224083960028,0.0
600,4,0,meterId201808090920393250103000001240,1.4070809381801932,0.0
938,4,0,meterId201810111112381540103165311309,1.4063320026526664,0.0
130,4,1.0,meterId201711141751105410103074525952,1.405705625130846,0.005870841487279843
581,4,0,meterId201808090920391350103000000728,1.4044746818989886,0.0
357,4,0,meterId201804241654231940103935075832,1.4035777453725713,0.0
695,4,2,meterId201808090920399010103000001120,1.4019639647936326,0.0
666,4,0,meterId201808090920397220103000001012,1.3985139832821722,0.0
562,4,0,meterId201808090920390190103000000884,1.395406665927037,0.0
680,4,0,meterId201808090920397950103000000816,1.3940076613577224,0.0
1363,4,0.0,meterId201812280958456870103379797468,1.392605153094744,0.0
488,4,0,meterId201807131855130100103942048092,1.3870309866490707,0.0
927,4,0,meterId201810091159288320103710060899,1.3853794906840995,0.0
678,4,0,meterId201808090920397920103000001108,1.3810346624858871,0.0
1038,4,0,meterId201810222001415450103228819759,1.3685978990752616,0.0
592,4,0,meterId201808090920392440103000001044,1.3683270029427355,0.0
566,4,0,meterId201808090920390310103000001232,1.3674048798915013,0.0
121,4,0,meterId201711101216288650103591150179,1.3619928293307944,0.0
900,4,0.0,meterId201809301528323890103894000940,1.360256105674203,0.03361344537815126
968,4,0,meterId201810161545196870103459957076,1.3594464498850773,0.0
1395,4,2,meterId201901101431509270103039359346,1.3573152957705066,0.0
1015,4,0,meterId201810191122173890103305088026,1.357235059983127,0.0
661,4,0,meterId201808090920396990103000000656,1.3567977875127086,0.0
582,4,0,meterId201808090920391380103000001024,1.356459607546699,0.0
616,4,0,meterId201808090920394400103000000968,1.3560078895233996,0.0
857,4,0,meterId201809251737031690103942006699,1.3529362108142957,0.0
1060,4,0,meterId201810241208361450103519032709,1.3519189310901338,0.0
681,4,0,meterId201808090920398030103000001100,1.351856799198341,0.0
472,4,0,meterId201807071344411400103041634571,1.3516371839081216,0.0
1387,4,0.0,meterId201901080837175040103696554438,1.3508255844369392,0.014285714285714285
915,4,0,meterId201810070956094510103045178610,1.3470205001538111,0.0
1013,4,0,meterId201810191116064620103164093409,1.3467220938303135,0.0
946,4,0,meterId201810121708164530103598068749,1.345293595705275,0.0
1169,4,1.0,meterId201811141152383300103499889196,1.3427190327063316,0.0
626,4,0,meterId201808090920394880103000001280,1.3418888480322702,0.0
